id,name,nom,description_eng,description_fra,uuid,data_type,zero_is_acceptable,triggers_fish_number,triggers_stamp,units_to_display,special_type,created_at,updated_at,created_by,last_modified_by,created_by_id,last_modified_by_id,data_type_display,display_categories
3,Collect Specimen,garder un specimen,Reminder to collect specimen (Collected=1),None,246f0f01-3db8-4b81-ac7f-f42e0ad64945,1,False,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2021-06-09 14:36:41.912000+00:00,None,dave,None,9,integer/categorical,0-not kept;  1-kept specimen
66,Collect Specimen 2,None,use when collect specimen is already in use,None,4cfcd29f-95c6-416f-8ec1-a8ff17f4b6a3,1,False,False,False,None,None,2021-08-31 01:01:11.559000+00:00,2021-08-31 01:01:11.611000+00:00,dave,None,9,None,integer/categorical,0-no;  1-yes
67,Collect Specimen 3,None,use when collect specimen and collect specimen 1 are already in use,None,91d148b0-ee01-41bd-8a16-cac78ee79a6b,1,False,False,False,None,None,2021-08-31 01:01:56.960000+00:00,2021-08-31 01:01:57.008000+00:00,dave,None,9,None,integer/categorical,0-no;  1-yes
35,Collect gonads,Recueillir les gonades,Reminder to collect gonad (collected = 1),None,ff2dd940-82e6-43ae-b4b7-76b5f874e367,1,True,False,False,None,8,2020-08-13 12:16:42.578000+00:00,2021-06-09 14:36:13.525000+00:00,None,dave,None,9,integer/categorical,0-not collected;  1-collected
52,Collect otoliths,None,reminder to collect otoliths,None,9749086e-bd99-40ef-a870-c209050fb14a,1,False,True,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:56:01.230000+00:00,None,None,None,None,integer/categorical,0-not kept;  1-kept
53,Collect specimen (with a fish #),None,None,None,1f3fc17b-1dd4-49bc-bbff-caee31166594,1,True,True,False,None,7,2020-08-25 09:29:59.497000+00:00,2021-06-09 14:36:41.961000+00:00,rachel,dave,18,9,integer/categorical,0-no;  1-yes
34,Collect vertebrae,None,Reminder to collect vertebrae (collected = 1),None,b22882dc-6888-4752-99a6-793b1eece3ee,1,False,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:54:47.256000+00:00,None,None,None,None,integer/categorical,0-not collected;  1-collected
6,Comments,None,Comments,None,16043145-8ce1-45b1-876d-97b7899a2aea,3,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:05.451000+00:00,None,None,None,None,string,
1,Crab Carapace Condition,None,Stage of Carapace Condition,None,37c0a358-500c-484f-b73e-4b444ec3d2df,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2021-04-16 14:27:08.663000+00:00,None,dave,None,9,integer/categorical,1-new / soft;  2-new / hard;  3-old;  4-ecdysis
45,Crab Maturity,None,snow crab maturity for female,None,7c3149c3-dff0-4f35-af64-2db126fbea54,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:55:33.234000+00:00,None,nico,None,7,integer/categorical,0-immature;  1-mature
57,Crab egg condition,None,Crab egg condition,None,81791e9c-8d85-4ca3-88d8-15f0b3fbca10,1,True,False,False,None,None,2021-04-16 14:15:34.650000+00:00,2021-04-16 14:17:10.651000+00:00,dave,dave,9,9,integer/categorical,0-no eggs present;  1-newly laid eggs;  2-old eggs (last season)
64,Datetime,None,None,None,77801abb-5cff-4a0d-a882-eb3822852568,3,True,False,False,None,6,2021-05-18 02:34:18.983000+00:00,2021-06-09 14:33:36.726000+00:00,dave,dave,9,9,string,
39,Disc width,None,Disk width flag,None,d78a5cc4-ee48-431a-8d68-ee21848c29cc,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:54:50.709000+00:00,None,None,None,None,float,
29,Egg Stage,None,Stage of eggs,None,f00e2c36-a296-4551-99fe-d5b71a6f3816,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:06.152000+00:00,None,None,None,None,integer/categorical,1-New (dark olive green or black; no eye spot);  2-Eyed (lighter black;  starting to become brownish);  3-Mature (orange/tan brown; eggs bulky and loose);  4-Hatching/hatched (mossy clutch; less orange and turning more opaque)
23,Fin Clip,None,Collect a fin clip,None,5b9a4a8a-4b79-4e63-ae06-c9f32edb4c9b,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:55:04.870000+00:00,None,None,None,None,integer/categorical,0-Not collected;  1-Collected
46,Gonad Vial #,None,Vial number for gonad (special collection),None,13f4c618-c291-438e-b329-e54db3192b2e,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:55:53.731000+00:00,None,None,None,None,integer/categorical,
19,Gonad Weight,None,Gonad total weight for halibut (Quebec),None,04ca6dd8-e3a9-4b8d-91b9-7d262e0e1386,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:54:03.129000+00:00,None,None,None,None,float,
48,Hugues vial,None,Hugues vial,None,9478955e-d319-4606-ab01-ca2e135b26fd,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:06.462000+00:00,None,None,None,None,integer/categorical,
55,IML measurig techi,None,None,None,None,1,True,False,False,None,None,2020-11-09 14:41:30.830000+00:00,2020-11-09 14:48:34.874000+00:00,dave,dave,9,9,integer/categorical,1-this technique;  2-that technique;  3-new tech
56,IML shrimp cailper,None,None,None,None,1,True,False,False,None,None,2020-11-09 14:42:14.843000+00:00,2020-11-09 14:42:34.517000+00:00,dave,dave,9,9,integer/categorical,1-this caliper;  2-that one
62,Latitude,None,None,None,bce6f8a4-5175-420e-a952-ed96d11c86fd,2,True,False,False,None,4,2021-05-18 02:33:46.083000+00:00,2021-06-09 14:33:36.590000+00:00,dave,dave,9,9,float,
7,Length,longeur,Length,None,085db4ff-448c-411c-9a70-af3e69cd2c10,2,True,False,False,None,1,2020-08-13 12:16:42.578000+00:00,2021-06-09 14:33:36.330000+00:00,None,dave,None,9,float,
20,Liver Weight,None,Liver total weight for halibut (Quebec),None,2f5b01ab-70ee-4669-a2ef-4e628d3c553c,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:54:02.957000+00:00,None,None,None,None,integer/categorical,
58,Lobster Carapace Condition,None,Lobster Carapace Condition,None,ba5cd226-a03b-4b65-8a4e-bf1d76998826,1,True,False,False,None,None,2021-04-16 14:27:41.949000+00:00,2021-04-16 14:28:44.920000+00:00,dave,dave,9,9,integer/categorical,1-newly post-molt;  2-inter-molt;  3-pre-molt;  4-ecdysis
54,Lobster Female eggs,oeufs femelles d'homard,None,None,6a00a5a4-e96e-4866-b353-e27b0442521c,1,True,False,False,None,None,2020-08-31 12:04:49.993000+00:00,2020-12-15 14:55:38.760000+00:00,pablo,None,10,None,integer/categorical,0-no;  1-yes
60,Lobster egg condition,None,condition of lobster eggs,None,cdd29145-a47b-4c7d-b531-40bd20e56588,1,True,False,False,None,None,2021-04-16 14:32:41.289000+00:00,2021-04-16 14:33:07.499000+00:00,dave,dave,9,9,integer/categorical,0-no eggs present;  1-newly laid eggs;  2-old eggs (last season)
59,Lobster shell disease,None,percentage of shell affected by shell disease,None,8525af1e-e465-4512-8d48-e915bac18e81,1,True,False,False,None,None,2021-04-16 14:29:54.570000+00:00,2021-05-18 17:43:21.666000+00:00,dave,natalie,9,39,integer/categorical,0-No disease;  1-<10% disease;  2-10-50% disease;  3->50% disease
63,Longitude,None,None,None,10cf4973-4333-49a0-b59b-485b7ad355f4,2,True,False,False,None,5,2021-05-18 02:34:05.348000+00:00,2021-06-09 14:33:36.665000+00:00,dave,dave,9,9,float,
8,Maturity,None,Maturity,None,72864ba1-a363-40f0-b9dd-8efd381d3279,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2021-06-02 14:59:19.064000+00:00,None,dave,None,9,integer/categorical,1-Immature;  2-Developing;  3-Maturing;  4-Mature / Spawning;  6-Spent;  8-Resting
41,Maturity Halibut,None,Halibut maturity stages,None,78ea451b-fbf1-459a-8c68-f1f686a3543f,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2021-06-02 14:59:33.192000+00:00,None,dave,None,9,integer/categorical,100-Stage 1-Juvenile and immature (male);  150-Stage 3 - Spawning (male);  160-Stage 4 - Spent (male);  200-Stage 2 - Maturing (male);  220-Uncertain (male);  500-Stage 1-Juvenile and immature (female);  550-Stage 3 - Spawning (female);  560-Stage 4 - Spent (female);  600-Stage 2 - Maturing (female);  620-Uncertain (female)
42,Maturity Skate,None,Skate maturity stages,None,269e969c-b15c-49e9-adbe-f0154c9f8bde,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2021-06-08 00:20:48.720000+00:00,None,dave,None,9,integer/categorical,1-Immature;  2-Maturing (1);  3-Maturing (2);  4-Mature;  5-Spawning
36,Missing legs - left,None,"Snow crab left legs missing (e.g. 11011); 1 = missing, 0 = intact NEEDS CLARIFICATION",None,5d7a0418-b918-4537-a4a8-e36e78616997,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:09.108000+00:00,None,None,None,None,integer/categorical,
37,Missing legs - right,None,"Snow crab right legs missing  (e.g. 11011); 1 = missing, 0 = intact NEEDS CLARIFICATION Description (French)	n/a",None,50420c1b-cf00-4f2d-b855-b12a41c8fa6b,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:09.150000+00:00,None,None,None,None,integer/categorical,
47,Photo Name 100-,None,Photo number associated with gonad collected for special collection,None,28aa6019-ac46-41d4-ac90-d33333edfe00,3,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:55:53.824000+00:00,None,None,None,None,string,
33,Pre-anal length,None,Tip of snout to base of first anal fin ray,None,2ebe888a-0ef5-4b9f-a81d-0f256dfd63c2,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:09.234000+00:00,None,None,None,None,integer/categorical,
61,Release Crab,None,Used from rock crab survey; will trigger a datetime / location stamp,None,39c716bc-402b-4ba9-b262-cf0b85767fee,1,True,False,True,None,None,2021-05-18 02:33:16.127000+00:00,2021-05-18 02:33:24.975000+00:00,dave,None,9,None,integer/categorical,0-no;  1-yes
65,Rock crab tag number,None,Tag number for mark-recapture analysis,None,e3e40360-49a4-4d7a-80b9-a03c956f42bc,3,True,False,False,None,None,2021-05-18 17:48:09.314000+00:00,2021-05-18 20:36:16.489000+00:00,natalie,natalie,39,39,string,
32,Sample Vial Number,None,Number on the sample vial,None,5841abe9-433b-4441-877d-678eb827cec0,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:09.567000+00:00,None,None,None,None,integer/categorical,
9,Sex,None,Sex,None,a5e10727-380a-413c-9fe7-f0ac8b428cee,1,True,False,False,None,3,2020-08-13 12:16:42.578000+00:00,2021-06-09 14:33:36.533000+00:00,None,dave,None,9,integer/categorical,0-Undetermined;  1-Male;  2-Female;  9-Not sexed
26,Shell Disease Index,None,Shell disease % coverage,None,1858a366-e76b-4848-9bbe-f0a88c1696f6,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:10.401000+00:00,None,None,None,None,integer/categorical,0-No shell disease;  1-1-10%;  2-11-50%;  3->50%
28,Spermatophore Presence,None,Presence or absence of sperm plug in spermatheca,None,e2cdf481-0947-441c-8526-79f4182dc305,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:10.660000+00:00,None,None,None,None,integer/categorical,0-Absent;  1-Present
10,Stomach Analysed By,None,Stomach Analysed By,None,18702938-fa60-4fd0-bc8d-753e70c64e34,3,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:10.703000+00:00,None,None,None,None,string,
11,Stomach Comments,None,Stomach Comments,None,7097f020-8181-4246-90e2-7eaf92cd4563,3,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:10.745000+00:00,None,None,None,None,string,
12,Stomach Content Weight,None,Stomach Content Weight,None,c0ec651f-8b65-4373-8831-b2e1a4eff4c3,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:10.853000+00:00,None,None,None,None,float,
13,Stomach Empty Weight,None,Stomach Empty Weight,None,a534e106-85e6-48ef-a4af-5519f8a187f1,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:10.895000+00:00,None,None,None,None,float,
14,Stomach Fullness,None,Stomach Fullness,None,6f53973e-33c2-409d-a248-08947947103e,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:11.920000+00:00,None,None,None,None,integer/categorical,0-Empty; No food contents;  1-Less than 1/4 full;  2-1/4 to 1/2 full;  3-1/2 to 3/4 full;  4-3/4 to full;  5-Everted;  6-Regurgitated;  swf-Saved Whole Frozen
15,Stomach Prey Species,None,Stomach Prey Species,None,191e47a6-6e3e-4b37-a2a1-96949c3c9635,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:11.988000+00:00,None,None,None,None,integer/categorical,
16,Stomach State,None,Stomach State,None,d3e783cd-ccf1-4809-ad4b-2732d02f528d,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:12.030000+00:00,None,None,None,None,integer/categorical,
17,Stomach Total Weight,None,Stomach Total Weight,None,5f460508-8c95-4aa1-86d0-94f29b530236,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:12.071000+00:00,None,None,None,None,float,
43,Stomach Weight,None,Stomach total weight for halibut (Quebec),None,7f05c14b-c7a1-4c58-9dbb-fc917a29a63f,2,True,False,False,3,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:54:03.030000+00:00,None,dave,None,9,float,
21,Viscera Weight,None,Viscera total weight for halibut (Quebec),None,033fdd1f-8839-481d-849f-53ef156632f1,2,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:54:02.854000+00:00,None,None,None,None,float,
18,Weight,None,Weight,None,9125f822-36e6-46db-b8b0-860abe5fa558,2,True,False,False,None,2,2020-08-13 12:16:42.578000+00:00,2021-06-09 14:33:36.471000+00:00,None,dave,None,9,float,
50,put the fish in the blender,None,None,None,48562cb4-cdf1-49e0-a73b-45a909ae5108,1,False,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:09.440000+00:00,None,None,None,None,integer/categorical,0-no;  1-yes
38,regenerated legs - left,None,Snow crab left legs regenerated,None,c93c2fd2-8cbc-4d4f-83a9-6ace9c4c485d,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:09.483000+00:00,None,None,None,None,integer/categorical,
44,regenerated legs - right,None,Snow crab right legs regenerated,None,a24d20d1-753f-4df8-a9b7-f3ea411d3efb,1,True,False,False,None,None,2020-08-13 12:16:42.578000+00:00,2020-12-15 14:35:09.525000+00:00,None,None,None,None,integer/categorical,
