"SAMPLING_REQUIREMENT","SPECIES_CODE","LENGTH_WEIGHT_A_MALE","LENGTH_WEIGHT_B_MALE","LENGTH_WEIGHT_A_FEMALE","LENGTH_WEIGHT_B_FEMALE","LENGTH_WEIGHT_A_UNSPECIFIED","LENGTH_WEIGHT_B_UNSPECIFIED","MAXIMUM_LENGTH","MATURE_LENGTH","LENGTH_TYPE","LENGTH_UNITS","WEIGHT_TYPE","WEIGHT_UNITS"
"Comparative",159,0.002964,2.809228,0.002964,2.809228,0.002964,2.809228,140,30,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",160,0.003338,3.296305,0.003338,3.296305,0.003338,3.296305,46,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",163,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",165,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",169,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",176,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",182,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",200,0.00674,3.01,0.00674,3.01,0.00674,3.01,150,0,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",201,0.009493,3.006082,0.009493,3.006082,0.009493,3.006082,150,0,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",202,0.004036,3.034412,0.004036,3.034412,0.004036,3.034412,100,0,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",203,0.003073,3.188176,0.003073,3.188176,0.003073,3.188176,55,0,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",204,0.002603,3.245312,0.002603,3.245312,0.002603,3.245312,150,0,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",207,0.00944,2.84,0.00944,2.84,0.00944,2.84,,,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",211,,,,,,,,,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",220,0.004835,2.954668,0.004835,2.954668,0.004835,2.954668,120,0,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",221,0.005706,2.935143,0.005706,2.935143,0.005706,2.935143,100,0,"Total Length","Centimeters","Total Weight","Grams"
"Comparative",240,0.0215,2.31,0.0215,2.31,0.0215,2.31,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",241,0.007643,2.428395,0.007643,2.428395,0.007643,2.428395,200,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",243,,,,,,,300,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",286,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",300,0.010319,3.001063,0.010319,3.001063,0.010319,3.001063,60,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",301,0.003497,3.431614,0.003497,3.431614,0.003497,3.431614,47,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",303,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",304,0.007878,2.950802,0.007878,2.950802,0.007878,2.950802,17,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",306,0.069101,2.119874,0.069101,2.119874,0.069101,2.119874,36,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",307,0.0111,3.21,0.0111,3.21,0.0111,3.21,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",308,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",314,0.00468,3.31,0.00468,3.31,0.00468,3.31,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",320,0.010728,3.151003,0.010728,3.151003,0.010728,3.151003,70,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",323,0.029812,2.49196,0.029812,2.49196,0.029812,2.49196,12,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",331,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",340,0.01389,2.136687,0.01389,2.136687,0.01389,2.136687,25,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",341,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",350,0.005175,2.804136,0.005175,2.804136,0.005175,2.804136,24,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",351,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",400,0.021818,2.917856,0.021818,2.917856,0.021818,2.917856,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",410,0.002944,2.983059,0.002944,2.983059,0.002944,2.983059,36,0,"Pre Anal Fin Length","Millimeters","Total Weight","Grams"
"Comparative",411,0.001006,3.375732,0.001006,3.375732,0.001006,3.375732,61,1,"Pre Anal Fin Length","Millimeters","Total Weight","Grams"
"Comparative",412,0.00107,3.31901,0.00107,3.31901,0.00107,3.31901,52,1,"Pre Anal Fin Length","Millimeters","Total Weight","Grams"
"Comparative",414,0.009665,2.668496,0.009665,2.668496,0.009665,2.668496,60,1,"Pre Anal Fin Length","Millimeters","Total Weight","Grams"
"Comparative",500,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",501,0.042016,3.05935,0.042016,3.05935,0.042016,3.05935,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",502,0.140832,2.460183,0.140832,2.460183,0.140832,2.460183,12,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",503,0.01016,3.057694,0.01016,3.057694,0.01016,3.057694,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",504,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",505,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",511,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",512,0.00648,3.28,0.00648,3.28,0.00648,3.28,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",590,0.001742,3.11985,0.001742,3.11985,0.001742,3.11985,26,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",593,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",601,0.00092,3.16,0.00092,3.16,0.00092,3.16,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",602,0.000953,2.927404,0.000953,2.927404,0.000953,2.927404,76,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",603,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",604,0.001415,2.186821,0.001415,2.186821,0.001415,2.186821,96,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",610,0.003686,2.852038,0.003686,2.852038,0.003686,2.852038,200,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",613,0.0002,2.94,0.0002,2.94,0.0002,2.94,75,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",616,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",617,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",619,0.002749,3.155293,0.002749,3.155293,0.002749,3.155293,54,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",620,0.002669,3.14768,0.002669,3.14768,0.002669,3.14768,52,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",621,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",622,0.070716,1.730048,0.070716,1.730048,0.070716,1.730048,40,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",623,0.010192,2.495538,0.010192,2.495538,0.010192,2.495538,38,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",625,0.002984,3.347832,0.002984,3.347832,0.002984,3.347832,41,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",626,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",630,0.00104,3.204,0.00104,3.204,0.00104,3.204,40,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",637,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",640,0.002676,3.13776,0.002676,3.13776,0.002676,3.13776,100,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",642,,,,,,,69,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",646,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",647,0.001763,3.20755,0.001763,3.20755,0.001763,3.20755,56,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",656,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",689,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",700,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",701,0.012853,3.109186,0.012853,3.109186,0.012853,3.109186,27,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",709,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",711,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",712,0.002901,2.72417,0.002901,2.72417,0.002901,2.72417,28,0,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",714,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",720,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",740,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",741,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",742,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",744,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",771,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",805,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",816,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",844,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",845,,,,,,,,,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",880,0.09587,1.941728,0.09587,1.941728,0.09587,1.941728,13,1,"Fork Length","Centimeters","Total Weight","Grams"
"Comparative",2000,,,,,,,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2511,0.000355,2.796347,0.000355,2.796347,0.000355,2.796347,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2512,,,,,,,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2513,0.00024,2.88606,0.00024,2.88606,0.00024,2.88606,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2519,,,,,,,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2521,0.002672,2.580593,0.002672,2.580593,0.002672,2.580593,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2523,0.000148,3.191621,0.000148,3.191621,0.000148,3.191621,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2526,0.000547,2.895289,0.000547,2.895289,0.000547,2.895289,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2527,0.001863,2.67338,0.001863,2.67338,0.001863,2.67338,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2528,,,,,,,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2531,,,,,,,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2532,0.00092,3.228378,0.00092,3.228378,0.00092,3.228378,200,30,"Carapace Width","Millimeters","Total Weight","Grams"
"Comparative",2550,0.000771,3.001184,0.000771,3.001184,0.000771,3.001184,220,65,"Carapace Length","Millimeters","Total Weight","Grams"
"Comparative",4321,0.000062,3.1246,0.000062,3.1246,0.000062,3.1246,200,30,"Shell Height","Millimeters","Total Weight","Grams"
"Comparative",4322,0.000154,2.9748,0.000154,2.9748,0.000154,2.9748,200,30,"Shell Height","Millimeters","Total Weight","Grams"
"Comparative",4500,,,,,,,200,30,"Mantle Length","Centimeters","Total Weight","Grams"
"Comparative",4511,0.0401,2.74,0.0401,2.74,0.0401,2.74,40,0,"Mantle Length","Centimeters","Total Weight","Grams"
"Comparative",4512,,,,,,,40,0,"Mantle Length","Centimeters","Total Weight","Grams"
"Comparative",4514,,,,,,,,,"Mantle Length","Centimeters","Total Weight","Grams"
"Comparative",9999,0.01,3,0.01,3,0.01,3,200,0,"Length","Centimeters","Total Weight","Grams"
